1958	89	0.1%	732
1959	145	0.2%	1,185
1960	401	0.5%	3,222
1961	744	0.9%	5,918
1962	1,257	1.18%	9,900
1963	2,552	2.29%	19,836
1964	4,171	3.52%	32,002
1965	5,092	4.31%	38,448
1966	5,933	4.41%	43,554
1967	5,425	3.45%	38,633
1968	4,722	2.65%	32,274
1969	4,251	2.31%	27,550
1970	3,752	1.92%	23,000
1971	3,382	1.61%	19,862
1972	3,423	1.48%	19,477
1973	3,312	1.35%	17,742
1974	3,255	1.21%	15,704
1975	3,269	0.98%	14,452
1976	3,671	0.99%	15,345
1977	4,002	0.98%	15,707
1978	4,164	0.91%	15,190
1979	4,380	0.87%	14,349
1980	4,959	0.84%	14,314
1981	5,537	0.82%	14,488
1982	6,155	0.83%	15,170
1983	6,853	0.85%	16,365
1984	7,055	0.83%	16,150
1985	7,251	0.77%	16,028
1986	7,403	0.75%	16,065
1987	7,591	0.76%	15,893
1988	9,092	0.85%	18,280
1989	11,036	0.96%	21,168
1990	12,429	0.99%	22,618
1991	13,878	1.05%	24,235
1992	13,961	1.01%	23,668
1993	14,305	1.01%	23,546
1994	13,695	0.94%	21,979
1995	13,378	0.88%	20,879
1996	13,881	0.89%	21,042
1997	14,360	0.90%	21,280
1998	14,194	0.86%	20,712
1999	13,636	0.80%	19,467
2000	13,428	0.75%	18,547
2001	14,095	0.76%	18,940
2002	14,405	0.72%	19,045
2003	14,610	0.68%	18,885
2004	15,152	0.66%	19,078
2005	15,602	0.63%	19,001
2006	15,125	0.57%	17,844
2007	15,861	0.58%	18,194
2008	17,833	0.60%	19,700
2009	17,782	0.57%	19,714
2010	18,724	0.52%	20,423
2011	18,448	0.51%	17,833
2012	17,770	0.50%	17,471
2013	16,865	0.49%	17,219
